prj_id,project_type,task_category,item_number,task_title,priority,content,man_days
project_2,Forecasting,Assessment & Planning,1.1,Identify business requirements,High,"Task: Identify business requirements. Detail: - Unify business models
- Unify Scope of Works deployed
- Unify input and output workflows",2.0
project_2,Forecasting,Assessment & Planning,1.2,Explore current data sources,High,"Task: Explore current data sources. Detail: - Unify data sources, source types and scope of data sources
- Unify data source access methods, information stored on GCP
- Unify the quantity and capacity of data sources converted to GCP
- Unify comparison of raw data converted to GCP with source data",3.0
project_2,Forecasting,Assessment & Planning,1.3,Stakeholder alignment,High,"Task: Stakeholder alignment. Detail: - Unify AI/ML models in use
- Unify input and processing of AI/ML models in use
- Unify test cases and success criteria for the project",2.0
project_2,Forecasting,GCP Project Prepartion,2.1,Billing & Project Setup,High,Task: Billing & Project Setup. Detail: ,0.5
project_2,Forecasting,GCP Project Prepartion,2.2,Access assignment to the Project,High,"Task: Access assignment to the Project. Detail: - Configure network, add team members, assign permissions and set up dev and MVP environments",1.5
project_2,Forecasting,GCP Project Prepartion,2.3,Data preparation,High,Task: Data preparation. Detail: - Prepare data and provide sample data files,3.0
project_2,Forecasting,Design Architecture,3.1,Standardize pipeline based on survey details and design dataset,High,Task: Standardize pipeline based on survey details and design dataset. Detail: - Design pipeline according to agreed information,2.0
project_2,Forecasting,Design Architecture,3.2,Design detailed data model and corresponding reports,High,Task: Design detailed data model and corresponding reports. Detail: - Design detailed data model and corresponding report after agreeing on detailed requirements,5.0
project_2,Forecasting,Data Integration from dropbox (Cloud Run),4.1,"Check and complete input data: schema, data type, filter",High,"Task: Check and complete input data: schema, data type, filter. Detail: - Review the raw input data stored in Dropbox for completeness and consistency.
- Validate and standardize data schema — ensuring uniform column names, data types, and formats across files.
- Filter out unnecessary or invalid data before ingestion to optimize downstream processing.
- Document the finalized data schema to serve as a reference for all subsequent pipeline steps.",4.0
project_2,Forecasting,Data Integration from dropbox (Cloud Run),4.2,Set up dataset for Migration,High,"Task: Set up dataset for Migration. Detail: - Create and configure datasets in BigQuery to store both raw and processed data.
- Define dataset structure and table partitioning strategy (e.g., by date or source file) for optimized query performance.
- Apply appropriate data governance settings such as dataset access controls policies.
- Ensure dataset naming and structure align with organizational data architecture standards.",2.0
project_2,Forecasting,Data Integration from dropbox (Cloud Run),4.3,Setup the authentication & authorization access to Dropbox folder,High,"Task: Setup the authentication & authorization access to Dropbox folder. Detail: - Configure secure token-based authentication between Google Cloud Run and Dropbox API.
- Store access credentials securely using Secret Manager.
- Grant least-privilege permissions to control access only to the specific Dropbox folder required.
- Test and validate secure connection and data retrieval from Dropbox using sample files.",3.0
project_2,Forecasting,Data Integration from dropbox (Cloud Run),4.4,Build & scheduled pipeline to ingest data from Dropbox data files into Cloud Storage,High,"Task: Build & scheduled pipeline to ingest data from Dropbox data files into Cloud Storage. Detail: - Develop a Cloud Run service that automatically scan new or updated files in Dropbox.
- Schedule this ingestion using Cloud Scheduler or event-based triggers for updates.
- Transfer raw files into Google Cloud Storage (GCS) while maintaining folder structure and metadata.
- Implement error handling, logging, and retry mechanisms to ensure reliability of the data ingestion process.
- Track data ingestion events and maintain logs for auditing and troubleshooting.",7.0
