prj_id,project_type,task_category,item_number,task_title,priority,content,man_days
project_1,Automation,Design Architecture,1.1,Design Dataflow,High,"Task: Design Dataflow. Detail: - Design overall data flow between components (Client Input, Knowledge Base, LLM, Output Sheet, Feedback).",0.5
project_1,Automation,Design Architecture,1.2,Design System Architecture & Data schema,High,"Task: Design System Architecture & Data schema. Detail: - Define overall logical architecture based on dataflow
- Design data schemas for templates, embeddings, context metadata, client inputs, and outputs.",1.0
project_1,Automation,Knowledge Base Preparation,2.1,Collect & consolidate templates,High,"Task: Collect & consolidate templates. Detail: - Collect questionnaire and SoW templates from Google Drive.
- Standardize file naming conventions, folder structure, and metadata.
- Convert all templates into a unified structured format (e.g., JSON or CSV).",1.0
project_1,Automation,Knowledge Base Preparation,2.2,Embedding & indexing,High,"Task: Embedding & indexing. Detail: - Generate embeddings for templates using LLM embedding model.
- Store embeddings in vector database (e.g., Pinecone, FAISS).
- Implement hybrid search with ElasticSearch (if required).",0.5
project_1,Automation,Knowledge Base Preparation,2.3,Build and validate knowledge base,High,"Task: Build and validate knowledge base. Detail: - Integrate all indexed and embedded data into a centralized knowledge base.
- Validate retrieval relevance using sample prompts and templates.
- Document data structure, retrieval logic, and evaluation results.",1.0
project_1,Automation,Knowledge Base Preparation,2.4,Deploy & test on dev environment,High,"Task: Deploy & test on dev environment. Detail: - Deploy all components (Cloud Run, Scheduler, IAM setup).
- Conduct end-to-end testing with sample templates.
- Validate data accuracy, retrieval speed, and overall pipeline performance.",1.0
project_1,Automation,Questionnaire Generation Engine,3.1,Input processing,High,"Task: Input processing. Detail: - Receive client information (name, requirement, domain/subdomain).
- Preprocess and structure client info for retrieval query.",0.5
project_1,Automation,Questionnaire Generation Engine,3.2,Questionnaire generation,High,"Task: Questionnaire generation. Detail: - Retrieve relevant templates and examples from the Knowledge Base.
- Combine retrieved context with client info to construct generation prompt
- Generate questionaire using LLM API.
- Support multiple industries and project types.",1.0
project_1,Automation,Questionnaire Generation Engine,3.3,Regeneration process,High,"Task: Regeneration process. Detail: - Implement “Regenerate” button in Google Sheet template.
- Feed feedback back into the LLM prompt for improved generation.",0.5
project_1,Automation,Questionnaire Generation Engine,3.4,Questionairs presentaion & Google Sheet output,High,Task: Questionairs presentaion & Google Sheet output. Detail: - Format output (and export to Google Sheet with proper template. ?? Maybe feedback xong hết r mới ra GG sheet),0.5
project_1,Automation,Scope of Work Generation Engine,4.1,Input processing,High,"Task: Input processing. Detail: - Collect Questionaire answers + client info.
- Extract structured insights (objectives, pain points, deliverables). ?
- Structure the data for context retrieval.",0.5
project_1,Automation,Scope of Work Generation Engine,4.2,SoW generation,High,"Task: SoW generation. Detail: - Retrieve relevant SoW templates and historical examples.
- Combine with client insights for prompt context. ?",2.0
project_1,Automation,Scope of Work Generation Engine,4.3,Regeneration process,High,"Task: Regeneration process. Detail: - Generate SoW  via LLM API.
- Export to SoW Google Sheet template with 4 tabs: Overview, SoW, Architecture, GCP Pricing Estimate.",1.0
project_1,Automation,Scope of Work Generation Engine,4.4,SoW presentaion & Google Sheet output,High,"Task: SoW presentaion & Google Sheet output. Detail: - Review generated SoW and validate clarity, tone, and structure.
- Log feedback for fine-tuning prompts and templates.",1.0
project_1,Automation,Integration & Testing,5.1,Check and fix errors on MVP version,High,"Task: Check and fix errors on MVP version. Detail: - Identify and resolve issues detected during UAT.
- Optimize pipeline reliability and prompt accuracy.",5.0
project_1,Automation,Documentation & Handover,6.1,Project Reports + Demo,High,Task: Project Reports + Demo. Detail: ,2.0
